dataset,embedding_type,toml_file,accuracy_score,f1_macro,f1_micro,eval_valid_score,best_trial_obj_value,best_trial_layer_idx,layer_idx,prefix,best_trial_dropout,best_lr_exp,best_weight_decay_exp,num_epochs,batch_size,slurm_job,thresh,num_trials,is_classification,train_on_middle,do_regression_classification,to_nep,eval,debug,prune,grid_search,save_intermediate_model,memmap,classify_by_subcategory,model_type,model_layer_dim,out_dim,confmat,confmat_path
chords7,mg_med_h,None,0.9547101449275363,0.9553064940673245,0.9547101449275363,-1.0,0.9850543478260869,48,-1,5,0.5,-5.0,-4.0,250,64,None,0.1,3000,true,None,None,true,1,None,true,None,None,1,None,musicgen-medium,1536,8,None,/nfs/guille/eecs_research/soundbendor/kwand/mtmidi/res/5-chords7-mg_med_h-cm.png
chords7,mg_large_h,None,0.9645229468599034,0.9649666133216471,0.9645229468599034,-1.0,0.9895833333333334,48,-1,5,0.5,-5.0,-2.0,250,64,None,0.1,3000,true,None,None,true,1,None,true,None,None,1,None,musicgen-large,2048,8,None,/nfs/guille/eecs_research/soundbendor/kwand/mtmidi/res/5-chords7-mg_large_h-cm.png
chords7,mg_large_h,None,0.9645229468599034,0.9649666133216471,0.9645229468599034,-1.0,0.9895833333333334,48,-1,5,0.5,-5.0,-2.0,250,64,None,0.1,3000,true,None,None,true,1,None,true,None,None,1,None,musicgen-large,2048,8,None,/nfs/guille/eecs_research/soundbendor/kwand/mtmidi/res/5-chords7-mg_large_h-cm.png
chords7,jukebox,None,0.7845712560386473,0.7813369279663456,0.7845712560386473,-1.0,0.958786231884058,60,-1,5,0.5,-5.0,-4.0,250,64,None,0.1,3000,true,None,None,true,1,None,true,None,None,1,None,jukebox,4800,8,None,/nfs/guille/eecs_research/soundbendor/kwand/mtmidi/res/5-chords7-jukebox-cm.png
chords7,jukebox,None,0.7845712560386473,0.7813369279663456,0.7845712560386473,-1.0,0.958786231884058,60,-1,5,0.5,-5.0,-4.0,250,64,None,0.1,3000,true,None,None,true,1,None,true,None,None,1,None,jukebox,4800,8,None,/nfs/guille/eecs_research/soundbendor/kwand/mtmidi/res/5-chords7-jukebox-cm.png
secondary_dominant,mg_audio,None,0.47906602254428343,0.4599341038760559,0.47906602254428343,0.463768115942029,0.5018115942028986,-1,-1,5,0.25,-5.0,-3.0,250,64,None,0.1,3000,true,None,None,true,1,None,true,None,None,1,None,musicgen-large,128,3,None,/nfs/guille/eecs_research/soundbendor/kwand/mtmidi/res/5-secondary_dominant-mg_audio-cm.png
secondary_dominant,mg_audio,None,0.47906602254428343,0.4599341038760559,0.47906602254428343,0.463768115942029,0.5018115942028986,-1,-1,5,0.25,-5.0,-3.0,250,64,None,0.1,3000,true,None,None,true,1,None,true,None,None,1,None,musicgen-large,128,3,None,/nfs/guille/eecs_research/soundbendor/kwand/mtmidi/res/5-secondary_dominant-mg_audio-cm.png
secondary_dominant,mg_small_h,None,0.5462962962962963,0.48093332610670947,0.5462962962962963,0.5440821256038647,0.7204106280193237,24,-1,5,0.25,-5.0,-2.0,250,64,None,0.1,3000,true,None,None,true,1,None,true,None,None,1,None,musicgen-small,1024,3,None,/nfs/guille/eecs_research/soundbendor/kwand/mtmidi/res/5-secondary_dominant-mg_small_h-cm.png
secondary_dominant,mg_small_h,None,0.5462962962962963,0.48093332610670947,0.5462962962962963,0.5440821256038647,0.7204106280193237,24,-1,5,0.25,-5.0,-2.0,250,64,None,0.1,3000,true,None,None,true,1,None,true,None,None,1,None,musicgen-small,1024,3,None,/nfs/guille/eecs_research/soundbendor/kwand/mtmidi/res/5-secondary_dominant-mg_small_h-cm.png
secondary_dominant,mg_med_h,None,0.3995571658615137,0.2858488388602145,0.3995571658615137,0.40942028985507245,0.7107487922705314,48,-1,5,0.25,-4.0,-3.0,250,64,None,0.1,3000,true,None,None,true,1,None,true,None,None,1,None,musicgen-medium,1536,3,None,/nfs/guille/eecs_research/soundbendor/kwand/mtmidi/res/5-secondary_dominant-mg_med_h-cm.png
secondary_dominant,mg_med_h,None,0.3995571658615137,0.2858488388602145,0.3995571658615137,0.40942028985507245,0.7107487922705314,48,-1,5,0.25,-4.0,-3.0,250,64,None,0.1,3000,true,None,None,true,1,None,true,None,None,1,None,musicgen-medium,1536,3,None,/nfs/guille/eecs_research/soundbendor/kwand/mtmidi/res/5-secondary_dominant-mg_med_h-cm.png
secondary_dominant,mg_large_h,None,0.8856682769726248,0.8851690245559829,0.8856682769726248,0.8870772946859904,0.8635265700483091,48,-1,5,0.25,-5.0,-3.0,250,64,None,0.1,3000,true,None,None,true,1,None,true,None,None,1,None,musicgen-large,2048,3,None,/nfs/guille/eecs_research/soundbendor/kwand/mtmidi/res/5-secondary_dominant-mg_large_h-cm.png
secondary_dominant,mg_large_h,None,0.8856682769726248,0.8851690245559829,0.8856682769726248,0.8870772946859904,0.8635265700483091,48,-1,5,0.25,-5.0,-3.0,250,64,None,0.1,3000,true,None,None,true,1,None,true,None,None,1,None,musicgen-large,2048,3,None,/nfs/guille/eecs_research/soundbendor/kwand/mtmidi/res/5-secondary_dominant-mg_large_h-cm.png
secondary_dominant,jukebox,None,0.625,0.5941665936714188,0.625,0.6243961352657005,0.7536231884057971,57,-1,5,0.5,-5.0,-2.0,250,64,None,0.1,3000,true,None,None,true,1,None,true,None,None,1,None,jukebox,4800,3,None,/nfs/guille/eecs_research/soundbendor/kwand/mtmidi/res/5-secondary_dominant-jukebox-cm.png
secondary_dominant,jukebox,None,0.625,0.5941665936714188,0.625,0.6243961352657005,0.7536231884057971,57,-1,5,0.5,-5.0,-2.0,250,64,None,0.1,3000,true,None,None,true,1,None,true,None,None,1,None,jukebox,4800,3,None,/nfs/guille/eecs_research/soundbendor/kwand/mtmidi/res/5-secondary_dominant-jukebox-cm.png
modemix_chordprog,mg_audio,None,0.8617820719269995,0.8614971364930495,0.8617820719269995,0.8671497584541062,0.8397745571658615,-1,-1,5,0.25,-5.0,-3.0,250,64,None,0.1,3000,true,None,None,true,1,None,true,None,None,1,None,musicgen-large,128,2,None,/nfs/guille/eecs_research/soundbendor/kwand/mtmidi/res/5-modemix_chordprog-mg_audio-cm.png
modemix_chordprog,mg_audio,None,0.8617820719269995,0.8614971364930495,0.8617820719269995,0.8671497584541062,0.8397745571658615,-1,-1,5,0.25,-5.0,-3.0,250,64,None,0.1,3000,true,None,None,true,1,None,true,None,None,1,None,musicgen-large,128,2,None,/nfs/guille/eecs_research/soundbendor/kwand/mtmidi/res/5-modemix_chordprog-mg_audio-cm.png
modemix_chordprog,mg_small_h,None,0.9720880300590445,0.9720687078187782,0.9720880300590445,0.9758454106280193,0.9814814814814815,24,-1,5,0.5,-5.0,-2.0,250,64,None,0.1,3000,true,None,None,true,1,None,true,None,None,1,None,musicgen-small,1024,2,None,/nfs/guille/eecs_research/soundbendor/kwand/mtmidi/res/5-modemix_chordprog-mg_small_h-cm.png
modemix_chordprog,mg_small_h,None,0.9720880300590445,0.9720687078187782,0.9720880300590445,0.9758454106280193,0.9814814814814815,24,-1,5,0.5,-5.0,-2.0,250,64,None,0.1,3000,true,None,None,true,1,None,true,None,None,1,None,musicgen-small,1024,2,None,/nfs/guille/eecs_research/soundbendor/kwand/mtmidi/res/5-modemix_chordprog-mg_small_h-cm.png
modemix_chordprog,mg_med_h,None,0.991411701556629,0.9914116396945438,0.991411701556629,0.9903381642512077,0.9911433172302737,48,-1,5,0.25,-5.0,-3.0,250,64,None,0.1,3000,true,None,None,true,1,None,true,None,None,1,None,musicgen-medium,1536,2,None,/nfs/guille/eecs_research/soundbendor/kwand/mtmidi/res/5-modemix_chordprog-mg_med_h-cm.png
modemix_chordprog,mg_med_h,None,0.991411701556629,0.9914116396945438,0.991411701556629,0.9903381642512077,0.9911433172302737,48,-1,5,0.25,-5.0,-3.0,250,64,None,0.1,3000,true,None,None,true,1,None,true,None,None,1,None,musicgen-medium,1536,2,None,/nfs/guille/eecs_research/soundbendor/kwand/mtmidi/res/5-modemix_chordprog-mg_med_h-cm.png
modemix_chordprog,mg_large_h,None,0.9672571121846484,0.9672253457556876,0.9672571121846484,0.9685990338164251,0.9935587761674718,48,-1,5,0.25,-4.0,-3.0,250,64,None,0.1,3000,true,None,None,true,1,None,true,None,None,1,None,musicgen-large,2048,2,None,/nfs/guille/eecs_research/soundbendor/kwand/mtmidi/res/5-modemix_chordprog-mg_large_h-cm.png
modemix_chordprog,mg_large_h,None,0.9672571121846484,0.9672253457556876,0.9672571121846484,0.9685990338164251,0.9935587761674718,48,-1,5,0.25,-4.0,-3.0,250,64,None,0.1,3000,true,None,None,true,1,None,true,None,None,1,None,musicgen-large,2048,2,None,/nfs/guille/eecs_research/soundbendor/kwand/mtmidi/res/5-modemix_chordprog-mg_large_h-cm.png
modemix_chordprog,jukebox,None,0.5,0.3333333333333333,0.5,0.5,0.9017713365539453,56,-1,5,0.5,-5.0,-4.0,250,64,None,0.1,3000,true,None,None,true,1,None,true,None,None,1,None,jukebox,4800,2,None,/nfs/guille/eecs_research/soundbendor/kwand/mtmidi/res/5-modemix_chordprog-jukebox-cm.png
modemix_chordprog,jukebox,None,0.5,0.3333333333333333,0.5,0.5,0.9017713365539453,56,-1,5,0.5,-5.0,-4.0,250,64,None,0.1,3000,true,None,None,true,1,None,true,None,None,1,None,jukebox,4800,2,None,/nfs/guille/eecs_research/soundbendor/kwand/mtmidi/res/5-modemix_chordprog-jukebox-cm.png
