fold,fold_count,key_center,count,proportion
12,994,e4,78,0.07847082494969819
12,994,f4,90,0.09054325955734407
12,994,fs4,100,0.1006036217303823
12,994,g4,75,0.07545271629778673
12,994,gs4,72,0.07243460764587525
13,993,a4,76,0.07653575025176233
13,993,as4,79,0.07955689828801611
13,993,b4,89,0.08962739174219536
13,993,c4,89,0.08962739174219536
13,993,cs4,76,0.07653575025176233
13,993,d4,79,0.07955689828801611
13,993,ds4,80,0.08056394763343404
13,993,e4,85,0.08559919436052367
13,993,f4,80,0.08056394763343404
13,993,fs4,90,0.09063444108761329
13,993,g4,81,0.08157099697885196
13,993,gs4,89,0.08962739174219536
14,993,a4,79,0.07955689828801611
14,993,as4,95,0.09566968781470292
14,993,b4,74,0.07452165156092648
14,993,c4,87,0.08761329305135952
14,993,cs4,93,0.09365558912386707
14,993,d4,86,0.0866062437059416
14,993,ds4,70,0.07049345417925479
14,993,e4,84,0.08459214501510574
14,993,f4,82,0.08257804632426989
14,993,fs4,71,0.07150050352467271
14,993,g4,84,0.08459214501510574
14,993,gs4,88,0.08862034239677744
15,993,a4,83,0.08358509566968782
15,993,as4,82,0.08257804632426989
15,993,b4,65,0.06545820745216516
15,993,c4,75,0.0755287009063444
15,993,cs4,91,0.09164149043303121
15,993,d4,72,0.07250755287009064
15,993,ds4,83,0.08358509566968782
15,993,e4,88,0.08862034239677744
15,993,f4,92,0.09264853977844914
15,993,fs4,91,0.09164149043303121
15,993,g4,83,0.08358509566968782
15,993,gs4,88,0.08862034239677744
16,993,a4,98,0.0986908358509567
16,993,as4,86,0.0866062437059416
16,993,b4,87,0.08761329305135952
16,993,c4,75,0.0755287009063444
16,993,cs4,70,0.07049345417925479
16,993,d4,72,0.07250755287009064
16,993,ds4,91,0.09164149043303121
16,993,e4,96,0.09667673716012085
16,993,f4,87,0.08761329305135952
16,993,fs4,70,0.07049345417925479
16,993,g4,72,0.07250755287009064
16,993,gs4,89,0.08962739174219536
17,993,a4,80,0.08056394763343404
17,993,as4,99,0.09969788519637462
17,993,b4,79,0.07955689828801611
17,993,c4,74,0.07452165156092648
17,993,cs4,90,0.09063444108761329
17,993,d4,78,0.07854984894259819
17,993,ds4,81,0.08157099697885196
17,993,e4,72,0.07250755287009064
17,993,f4,83,0.08358509566968782
17,993,fs4,89,0.08962739174219536
17,993,g4,91,0.09164149043303121
17,993,gs4,77,0.07754279959718026
18,993,a4,82,0.08257804632426989
18,993,as4,90,0.09063444108761329
18,993,b4,78,0.07854984894259819
18,993,c4,68,0.06847935548841894
18,993,cs4,109,0.10976837865055387
18,993,d4,76,0.07653575025176233
18,993,ds4,66,0.06646525679758308
18,993,e4,98,0.0986908358509567
18,993,f4,73,0.07351460221550855
18,993,fs4,88,0.08862034239677744
18,993,g4,91,0.09164149043303121
18,993,gs4,74,0.07452165156092648
19,993,a4,76,0.07653575025176233
19,993,as4,73,0.07351460221550855
19,993,b4,85,0.08559919436052367
19,993,c4,90,0.09063444108761329
19,993,cs4,85,0.08559919436052367
19,993,d4,85,0.08559919436052367
19,993,ds4,85,0.08559919436052367
19,993,e4,95,0.09566968781470292
19,993,f4,76,0.07653575025176233
19,993,fs4,86,0.0866062437059416
19,993,g4,87,0.08761329305135952
19,993,gs4,70,0.07049345417925479
20,993,a4,89,0.08962739174219536
20,993,as4,85,0.08559919436052367
20,993,b4,77,0.07754279959718026
20,993,c4,85,0.08559919436052367
20,993,cs4,75,0.0755287009063444
20,993,d4,92,0.09264853977844914
20,993,ds4,64,0.06445115810674723
20,993,e4,72,0.07250755287009064
20,993,f4,83,0.08358509566968782
20,993,fs4,102,0.1027190332326284
20,993,g4,88,0.08862034239677744
20,993,gs4,81,0.08157099697885196
