fold,fold_count,poly2,count,proportion
8,1530,5,135,0.08823529411764705
8,1530,6,45,0.029411764705882353
8,1530,7,225,0.14705882352941174
8,1530,8,135,0.08823529411764705
8,1530,9,225,0.14705882352941174
8,1530,10,135,0.08823529411764705
8,1530,11,405,0.2647058823529412
8,1530,12,135,0.08823529411764705
9,1530,3,45,0.029411764705882353
9,1530,4,45,0.029411764705882353
9,1530,5,135,0.08823529411764705
9,1530,6,45,0.029411764705882353
9,1530,7,225,0.14705882352941174
9,1530,8,135,0.08823529411764705
9,1530,9,225,0.14705882352941174
9,1530,10,135,0.08823529411764705
9,1530,11,405,0.2647058823529412
9,1530,12,135,0.08823529411764705
10,1530,3,45,0.029411764705882353
10,1530,4,45,0.029411764705882353
10,1530,5,135,0.08823529411764705
10,1530,6,45,0.029411764705882353
10,1530,7,225,0.14705882352941174
10,1530,8,135,0.08823529411764705
10,1530,9,225,0.14705882352941174
10,1530,10,135,0.08823529411764705
10,1530,11,405,0.2647058823529412
10,1530,12,135,0.08823529411764705
11,1530,3,45,0.029411764705882353
11,1530,4,45,0.029411764705882353
11,1530,5,135,0.08823529411764705
11,1530,6,45,0.029411764705882353
11,1530,7,225,0.14705882352941174
11,1530,8,135,0.08823529411764705
11,1530,9,225,0.14705882352941174
11,1530,10,135,0.08823529411764705
11,1530,11,405,0.2647058823529412
11,1530,12,135,0.08823529411764705
12,1530,3,45,0.029411764705882353
12,1530,4,45,0.029411764705882353
12,1530,5,135,0.08823529411764705
12,1530,6,45,0.029411764705882353
12,1530,7,225,0.14705882352941174
12,1530,8,135,0.08823529411764705
12,1530,9,225,0.14705882352941174
12,1530,10,135,0.08823529411764705
12,1530,11,405,0.2647058823529412
12,1530,12,135,0.08823529411764705
13,1530,3,45,0.029411764705882353
13,1530,4,45,0.029411764705882353
13,1530,5,135,0.08823529411764705
13,1530,6,45,0.029411764705882353
13,1530,7,225,0.14705882352941174
13,1530,8,135,0.08823529411764705
13,1530,9,225,0.14705882352941174
13,1530,10,135,0.08823529411764705
13,1530,11,405,0.2647058823529412
13,1530,12,135,0.08823529411764705
14,1530,3,45,0.029411764705882353
14,1530,4,45,0.029411764705882353
14,1530,5,135,0.08823529411764705
14,1530,6,45,0.029411764705882353
14,1530,7,225,0.14705882352941174
14,1530,8,135,0.08823529411764705
14,1530,9,225,0.14705882352941174
14,1530,10,135,0.08823529411764705
14,1530,11,405,0.2647058823529412
14,1530,12,135,0.08823529411764705
15,1530,3,45,0.029411764705882353
15,1530,4,45,0.029411764705882353
15,1530,5,135,0.08823529411764705
15,1530,6,45,0.029411764705882353
15,1530,7,225,0.14705882352941174
15,1530,8,135,0.08823529411764705
15,1530,9,225,0.14705882352941174
15,1530,10,135,0.08823529411764705
15,1530,11,405,0.2647058823529412
15,1530,12,135,0.08823529411764705
16,1530,3,45,0.029411764705882353
16,1530,4,45,0.029411764705882353
16,1530,5,135,0.08823529411764705
16,1530,6,45,0.029411764705882353
16,1530,7,225,0.14705882352941174
16,1530,8,135,0.08823529411764705
16,1530,9,225,0.14705882352941174
16,1530,10,135,0.08823529411764705
16,1530,11,405,0.2647058823529412
16,1530,12,135,0.08823529411764705
17,1530,3,45,0.029411764705882353
17,1530,4,45,0.029411764705882353
17,1530,5,135,0.08823529411764705
17,1530,6,45,0.029411764705882353
17,1530,7,225,0.14705882352941174
17,1530,8,135,0.08823529411764705
17,1530,9,225,0.14705882352941174
17,1530,10,135,0.08823529411764705
17,1530,11,405,0.2647058823529412
17,1530,12,135,0.08823529411764705
18,1530,3,45,0.029411764705882353
18,1530,4,45,0.029411764705882353
18,1530,5,135,0.08823529411764705
18,1530,6,45,0.029411764705882353
18,1530,7,225,0.14705882352941174
18,1530,8,135,0.08823529411764705
18,1530,9,225,0.14705882352941174
18,1530,10,135,0.08823529411764705
18,1530,11,405,0.2647058823529412
18,1530,12,135,0.08823529411764705
19,1530,3,45,0.029411764705882353
19,1530,4,45,0.029411764705882353
19,1530,5,135,0.08823529411764705
19,1530,6,45,0.029411764705882353
19,1530,7,225,0.14705882352941174
19,1530,8,135,0.08823529411764705
19,1530,9,225,0.14705882352941174
19,1530,10,135,0.08823529411764705
19,1530,11,405,0.2647058823529412
19,1530,12,135,0.08823529411764705
20,1530,3,45,0.029411764705882353
20,1530,4,45,0.029411764705882353
20,1530,5,135,0.08823529411764705
20,1530,6,45,0.029411764705882353
20,1530,7,225,0.14705882352941174
20,1530,8,135,0.08823529411764705
20,1530,9,225,0.14705882352941174
20,1530,10,135,0.08823529411764705
20,1530,11,405,0.2647058823529412
20,1530,12,135,0.08823529411764705
