set_type,set_type_count,inst,count,proportion
train,18550,ElectricBass(finger),188,0.01013477088948787
train,18550,ElectricBass(pick),207,0.011159029649595687
train,18550,ElectricGrandPiano,193,0.010404312668463611
train,18550,ElectricGuitar(clean),193,0.010404312668463611
train,18550,ElectricGuitar(jazz),195,0.010512129380053909
train,18550,ElectricGuitar(muted),200,0.010781671159029648
train,18550,ElectricPiano1,198,0.010673854447439353
train,18550,ElectricPiano2,201,0.010835579514824797
train,18550,EnglishHorn,199,0.010727762803234502
train,18550,Fiddle,191,0.010296495956873314
train,18550,Flute,206,0.011105121293800539
train,18550,FrenchHorn,213,0.011482479784366577
train,18550,FretlessBass,196,0.010566037735849056
train,18550,Harpsichord,207,0.011159029649595687
train,18550,Honky-tonkPiano,199,0.010727762803234502
train,18550,Kalimba,201,0.010835579514824797
train,18550,Koto,196,0.010566037735849056
train,18550,Lead1(square),204,0.010997304582210243
train,18550,Lead2(sawtooth),200,0.010781671159029648
train,18550,Lead3(calliope),216,0.011644204851752021
train,18550,Lead4(chiff),202,0.010889487870619946
train,18550,Lead5(charang),208,0.011212938005390836
train,18550,Lead6(voice),193,0.010404312668463611
train,18550,Lead8(bass+lead),202,0.010889487870619946
train,18550,Marimba,210,0.011320754716981131
train,18550,MusicBox,219,0.011805929919137466
train,18550,MutedTrumpet,202,0.010889487870619946
train,18550,Oboe,204,0.010997304582210243
train,18550,Ocarina,205,0.01105121293800539
train,18550,OrchestralHarp,201,0.010835579514824797
train,18550,OverdrivenGuitar,193,0.010404312668463611
train,18550,Pad1(newage),193,0.010404312668463611
train,18550,Pad2(warm),207,0.011159029649595687
train,18550,Pad3(polysynth),211,0.01137466307277628
train,18550,Pad4(choir),202,0.010889487870619946
train,18550,Pad5(bowed),206,0.011105121293800539
train,18550,Pad6(metallic),203,0.010943396226415094
train,18550,Pad7(halo),200,0.010781671159029648
train,18550,Pad8(sweep),200,0.010781671159029648
train,18550,PanFlute,206,0.011105121293800539
train,18550,PercussiveOrgan,199,0.010727762803234502
train,18550,Piccolo,194,0.01045822102425876
train,18550,PizzicatoStrings,205,0.01105121293800539
train,18550,Recorder,205,0.01105121293800539
train,18550,ReedOrgan,213,0.011482479784366577
train,18550,RockOrgan,205,0.01105121293800539
train,18550,Shamisen,203,0.010943396226415094
train,18550,Shanai,199,0.010727762803234502
train,18550,Sitar,206,0.011105121293800539
train,18550,SlapBass1,208,0.011212938005390836
train,18550,SlapBass2,189,0.010188679245283019
train,18550,SopranoSax,194,0.01045822102425876
train,18550,StringEnsemble1,202,0.010889487870619946
train,18550,StringEnsemble2,211,0.01137466307277628
train,18550,SynthBass1,196,0.010566037735849056
train,18550,SynthBass2,186,0.010026954177897575
train,18550,SynthBrass1,202,0.010889487870619946
train,18550,SynthBrass2,188,0.01013477088948787
train,18550,SynthStrings1,211,0.01137466307277628
train,18550,SynthStrings2,208,0.011212938005390836
train,18550,SynthVoice,202,0.010889487870619946
train,18550,TenorSax,198,0.010673854447439353
train,18550,TremoloStrings,203,0.010943396226415094
train,18550,Trombone,196,0.010566037735849056
train,18550,Trumpet,208,0.011212938005390836
train,18550,Tuba,209,0.011266846361185983
train,18550,Vibraphone,204,0.010997304582210243
train,18550,Viola,204,0.010997304582210243
train,18550,Violin,199,0.010727762803234502
train,18550,VoiceOohs,205,0.01105121293800539
train,18550,Xylophone,199,0.010727762803234502
valid,3974,AcousticBass,35,0.008807247106190236
valid,3974,AcousticGrandPiano,39,0.009813789632611978
valid,3974,AcousticGuitar(nylon),43,0.010820332159033719
valid,3974,AcousticGuitar(steel),39,0.009813789632611978
valid,3974,AltoSax,52,0.013085052843482638
valid,3974,Bagpipe,54,0.013588324106693507
valid,3974,Banjo,38,0.009562154001006542
valid,3974,BaritoneSax,51,0.012833417211877201
valid,3974,Bassoon,43,0.010820332159033719
valid,3974,BlownBottle,48,0.012078510317060896
valid,3974,BrassSection,50,0.012581781580271767
valid,3974,BrightAcousticPiano,42,0.010568696527428284
valid,3974,Cello,46,0.011575239053850024
valid,3974,ChoirAahs,44,0.011071967790639153
valid,3974,ChurchOrgan,36,0.009058882737795673
valid,3974,Clarinet,40,0.010065425264217413
valid,3974,Clavinet,40,0.010065425264217413
valid,3974,Contrabass,38,0.009562154001006542
valid,3974,DistortionGuitar,38,0.009562154001006542
valid,3974,DrawbarOrgan,44,0.011071967790639153
valid,3974,Dulcimer,43,0.010820332159033719
valid,3974,ElectricBass(finger),45,0.01132360342224459
valid,3974,ElectricBass(pick),41,0.010317060895822848
valid,3974,ElectricGrandPiano,50,0.012581781580271767
valid,3974,ElectricGuitar(clean),40,0.010065425264217413
valid,3974,ElectricGuitar(jazz),42,0.010568696527428284
valid,3974,ElectricGuitar(muted),51,0.012833417211877201
valid,3974,ElectricPiano1,46,0.011575239053850024
valid,3974,ElectricPiano2,48,0.012078510317060896
valid,3974,EnglishHorn,44,0.011071967790639153
valid,3974,Fiddle,48,0.012078510317060896
valid,3974,Flute,39,0.009813789632611978
valid,3974,FrenchHorn,47,0.01182687468545546
valid,3974,FretlessBass,43,0.010820332159033719
valid,3974,Harpsichord,43,0.010820332159033719
valid,3974,Honky-tonkPiano,47,0.01182687468545546
valid,3974,Kalimba,46,0.011575239053850024
valid,3974,Koto,40,0.010065425264217413
valid,3974,Lead1(square),40,0.010065425264217413
valid,3974,Lead2(sawtooth),46,0.011575239053850024
valid,3974,Lead3(calliope),35,0.008807247106190236
valid,3974,Lead4(chiff),48,0.012078510317060896
valid,3974,Lead5(charang),45,0.01132360342224459
valid,3974,Lead6(voice),56,0.014091595369904378
valid,3974,Lead8(bass+lead),44,0.011071967790639153
valid,3974,Marimba,38,0.009562154001006542
valid,3974,MusicBox,38,0.009562154001006542
valid,3974,MutedTrumpet,38,0.009562154001006542
valid,3974,Oboe,49,0.01233014594866633
valid,3974,Ocarina,37,0.009310518369401107
valid,3974,OrchestralHarp,32,0.00805234021137393
valid,3974,OverdrivenGuitar,56,0.014091595369904378
valid,3974,Pad1(newage),47,0.01182687468545546
valid,3974,Pad2(warm),37,0.009310518369401107
valid,3974,Pad3(polysynth),39,0.009813789632611978
valid,3974,Pad4(choir),44,0.011071967790639153
valid,3974,Pad5(bowed),40,0.010065425264217413
valid,3974,Pad6(metallic),45,0.01132360342224459
valid,3974,Pad7(halo),41,0.010317060895822848
valid,3974,Pad8(sweep),43,0.010820332159033719
valid,3974,PanFlute,42,0.010568696527428284
valid,3974,PercussiveOrgan,45,0.01132360342224459
valid,3974,Piccolo,48,0.012078510317060896
valid,3974,PizzicatoStrings,44,0.011071967790639153
valid,3974,Recorder,44,0.011071967790639153
valid,3974,ReedOrgan,32,0.00805234021137393
valid,3974,RockOrgan,47,0.01182687468545546
valid,3974,Shamisen,43,0.010820332159033719
valid,3974,Shanai,44,0.011071967790639153
valid,3974,Sitar,42,0.010568696527428284
valid,3974,SlapBass1,36,0.009058882737795673
valid,3974,SlapBass2,40,0.010065425264217413
valid,3974,SopranoSax,43,0.010820332159033719
valid,3974,StringEnsemble1,39,0.009813789632611978
valid,3974,StringEnsemble2,42,0.010568696527428284
valid,3974,SynthBass1,50,0.012581781580271767
valid,3974,SynthBass2,52,0.013085052843482638
valid,3974,SynthBrass1,36,0.009058882737795673
valid,3974,SynthBrass2,50,0.012581781580271767
valid,3974,SynthStrings1,34,0.008555611474584801
valid,3974,SynthStrings2,41,0.010317060895822848
valid,3974,SynthVoice,51,0.012833417211877201
valid,3974,TenorSax,44,0.011071967790639153
valid,3974,TremoloStrings,47,0.01182687468545546
valid,3974,Trombone,49,0.01233014594866633
valid,3974,Trumpet,41,0.010317060895822848
valid,3974,Tuba,45,0.01132360342224459
valid,3974,Vibraphone,37,0.009310518369401107
valid,3974,Viola,36,0.009058882737795673
valid,3974,Violin,41,0.010317060895822848
valid,3974,VoiceOohs,43,0.010820332159033719
valid,3974,Xylophone,45,0.01132360342224459
