fold,fold_count,sub_prog,count,proportion
9,1325,maj-e_2-1145-s_T,55,0.04150943396226415
9,1325,maj-e_2-1251-s_N,56,0.04226415094339622
9,1325,maj-e_2-1251-s_S,55,0.04150943396226415
9,1325,maj-e_2-1251-s_T,55,0.04150943396226415
9,1325,maj-e_2-1365-s_N,55,0.04150943396226415
9,1325,maj-e_2-1365-s_S,55,0.04150943396226415
9,1325,maj-e_2-1365-s_T,55,0.04150943396226415
9,1325,maj-e_2-1625-s_N,55,0.04150943396226415
9,1325,maj-e_2-1625-s_S,55,0.04150943396226415
9,1325,maj-e_2-1625-s_T,56,0.04226415094339622
9,1325,min-e_2-1145-s_N,55,0.04150943396226415
9,1325,min-e_2-1145-s_S,55,0.04150943396226415
9,1325,min-e_2-1145-s_T,55,0.04150943396226415
9,1325,min-e_2-1251-s_N,55,0.04150943396226415
9,1325,min-e_2-1251-s_S,55,0.04150943396226415
9,1325,min-e_2-1251-s_T,56,0.04226415094339622
9,1325,min-e_2-1365-s_N,55,0.04150943396226415
9,1325,min-e_2-1365-s_S,56,0.04226415094339622
9,1325,min-e_2-1365-s_T,55,0.04150943396226415
9,1325,min-e_2-1625-s_N,55,0.04150943396226415
9,1325,min-e_2-1625-s_S,55,0.04150943396226415
9,1325,min-e_2-1625-s_T,55,0.04150943396226415
10,1325,maj-e_2-1145-s_N,55,0.04150943396226415
10,1325,maj-e_2-1145-s_S,56,0.04226415094339622
10,1325,maj-e_2-1145-s_T,55,0.04150943396226415
10,1325,maj-e_2-1251-s_N,56,0.04226415094339622
10,1325,maj-e_2-1251-s_S,55,0.04150943396226415
10,1325,maj-e_2-1251-s_T,55,0.04150943396226415
10,1325,maj-e_2-1365-s_N,55,0.04150943396226415
10,1325,maj-e_2-1365-s_S,55,0.04150943396226415
10,1325,maj-e_2-1365-s_T,55,0.04150943396226415
10,1325,maj-e_2-1625-s_N,55,0.04150943396226415
10,1325,maj-e_2-1625-s_S,55,0.04150943396226415
10,1325,maj-e_2-1625-s_T,56,0.04226415094339622
10,1325,min-e_2-1145-s_N,55,0.04150943396226415
10,1325,min-e_2-1145-s_S,55,0.04150943396226415
10,1325,min-e_2-1145-s_T,55,0.04150943396226415
10,1325,min-e_2-1251-s_N,55,0.04150943396226415
10,1325,min-e_2-1251-s_S,55,0.04150943396226415
10,1325,min-e_2-1251-s_T,56,0.04226415094339622
10,1325,min-e_2-1365-s_N,55,0.04150943396226415
10,1325,min-e_2-1365-s_S,56,0.04226415094339622
10,1325,min-e_2-1365-s_T,55,0.04150943396226415
10,1325,min-e_2-1625-s_N,55,0.04150943396226415
10,1325,min-e_2-1625-s_S,55,0.04150943396226415
10,1325,min-e_2-1625-s_T,55,0.04150943396226415
11,1325,maj-e_2-1145-s_N,55,0.04150943396226415
11,1325,maj-e_2-1145-s_S,56,0.04226415094339622
11,1325,maj-e_2-1145-s_T,55,0.04150943396226415
11,1325,maj-e_2-1251-s_N,56,0.04226415094339622
11,1325,maj-e_2-1251-s_S,55,0.04150943396226415
11,1325,maj-e_2-1251-s_T,55,0.04150943396226415
11,1325,maj-e_2-1365-s_N,55,0.04150943396226415
11,1325,maj-e_2-1365-s_S,55,0.04150943396226415
11,1325,maj-e_2-1365-s_T,55,0.04150943396226415
11,1325,maj-e_2-1625-s_N,55,0.04150943396226415
11,1325,maj-e_2-1625-s_S,55,0.04150943396226415
11,1325,maj-e_2-1625-s_T,56,0.04226415094339622
11,1325,min-e_2-1145-s_N,55,0.04150943396226415
11,1325,min-e_2-1145-s_S,55,0.04150943396226415
11,1325,min-e_2-1145-s_T,55,0.04150943396226415
11,1325,min-e_2-1251-s_N,55,0.04150943396226415
11,1325,min-e_2-1251-s_S,55,0.04150943396226415
11,1325,min-e_2-1251-s_T,56,0.04226415094339622
11,1325,min-e_2-1365-s_N,55,0.04150943396226415
11,1325,min-e_2-1365-s_S,56,0.04226415094339622
11,1325,min-e_2-1365-s_T,55,0.04150943396226415
11,1325,min-e_2-1625-s_N,55,0.04150943396226415
11,1325,min-e_2-1625-s_S,55,0.04150943396226415
11,1325,min-e_2-1625-s_T,55,0.04150943396226415
12,1325,maj-e_2-1145-s_N,55,0.04150943396226415
12,1325,maj-e_2-1145-s_S,56,0.04226415094339622
12,1325,maj-e_2-1145-s_T,55,0.04150943396226415
12,1325,maj-e_2-1251-s_N,56,0.04226415094339622
12,1325,maj-e_2-1251-s_S,55,0.04150943396226415
12,1325,maj-e_2-1251-s_T,55,0.04150943396226415
12,1325,maj-e_2-1365-s_N,55,0.04150943396226415
12,1325,maj-e_2-1365-s_S,55,0.04150943396226415
12,1325,maj-e_2-1365-s_T,55,0.04150943396226415
12,1325,maj-e_2-1625-s_N,55,0.04150943396226415
12,1325,maj-e_2-1625-s_S,55,0.04150943396226415
12,1325,maj-e_2-1625-s_T,56,0.04226415094339622
12,1325,min-e_2-1145-s_N,55,0.04150943396226415
12,1325,min-e_2-1145-s_S,55,0.04150943396226415
12,1325,min-e_2-1145-s_T,55,0.04150943396226415
12,1325,min-e_2-1251-s_N,55,0.04150943396226415
12,1325,min-e_2-1251-s_S,55,0.04150943396226415
12,1325,min-e_2-1251-s_T,56,0.04226415094339622
12,1325,min-e_2-1365-s_N,55,0.04150943396226415
