fold,fold_count,inst,count,proportion
2,1325,RockOrgan,16,0.012075471698113207
2,1325,Shamisen,15,0.011320754716981131
2,1325,Shanai,14,0.010566037735849056
2,1325,Sitar,15,0.011320754716981131
2,1325,SlapBass1,10,0.007547169811320755
2,1325,SlapBass2,19,0.014339622641509434
2,1325,SopranoSax,10,0.007547169811320755
2,1325,StringEnsemble1,16,0.012075471698113207
2,1325,StringEnsemble2,6,0.004528301886792452
2,1325,SynthBass1,13,0.00981132075471698
2,1325,SynthBass2,10,0.007547169811320755
2,1325,SynthBrass1,18,0.013584905660377358
2,1325,SynthBrass2,16,0.012075471698113207
2,1325,SynthStrings1,16,0.012075471698113207
2,1325,SynthStrings2,12,0.009056603773584904
2,1325,SynthVoice,17,0.012830188679245283
2,1325,TenorSax,15,0.011320754716981131
2,1325,TremoloStrings,24,0.01811320754716981
2,1325,Trombone,20,0.01509433962264151
2,1325,Trumpet,15,0.011320754716981131
2,1325,Tuba,9,0.006792452830188679
2,1325,Vibraphone,12,0.009056603773584904
2,1325,Viola,19,0.014339622641509434
2,1325,Violin,14,0.010566037735849056
2,1325,VoiceOohs,14,0.010566037735849056
2,1325,Xylophone,19,0.014339622641509434
3,1325,AcousticBass,13,0.00981132075471698
3,1325,AcousticGrandPiano,14,0.010566037735849056
3,1325,AcousticGuitar(nylon),14,0.010566037735849056
3,1325,AcousticGuitar(steel),10,0.007547169811320755
3,1325,AltoSax,11,0.00830188679245283
3,1325,Bagpipe,15,0.011320754716981131
3,1325,Banjo,17,0.012830188679245283
3,1325,BaritoneSax,15,0.011320754716981131
3,1325,Bassoon,13,0.00981132075471698
3,1325,BlownBottle,16,0.012075471698113207
3,1325,BrassSection,15,0.011320754716981131
3,1325,BrightAcousticPiano,8,0.0060377358490566035
3,1325,Cello,18,0.013584905660377358
3,1325,ChoirAahs,14,0.010566037735849056
3,1325,ChurchOrgan,16,0.012075471698113207
3,1325,Clarinet,11,0.00830188679245283
3,1325,Clavinet,10,0.007547169811320755
3,1325,Contrabass,13,0.00981132075471698
3,1325,DistortionGuitar,17,0.012830188679245283
3,1325,DrawbarOrgan,18,0.013584905660377358
3,1325,Dulcimer,17,0.012830188679245283
3,1325,ElectricBass(finger),14,0.010566037735849056
3,1325,ElectricBass(pick),8,0.0060377358490566035
3,1325,ElectricGrandPiano,17,0.012830188679245283
3,1325,ElectricGuitar(clean),13,0.00981132075471698
3,1325,ElectricGuitar(jazz),10,0.007547169811320755
3,1325,ElectricGuitar(muted),17,0.012830188679245283
3,1325,ElectricPiano1,13,0.00981132075471698
3,1325,ElectricPiano2,9,0.006792452830188679
3,1325,EnglishHorn,16,0.012075471698113207
3,1325,Fiddle,17,0.012830188679245283
3,1325,Flute,21,0.015849056603773583
3,1325,FrenchHorn,13,0.00981132075471698
3,1325,FretlessBass,12,0.009056603773584904
3,1325,Harpsichord,11,0.00830188679245283
3,1325,Honky-tonkPiano,16,0.012075471698113207
3,1325,Kalimba,14,0.010566037735849056
3,1325,Koto,14,0.010566037735849056
3,1325,Lead1(square),16,0.012075471698113207
3,1325,Lead2(sawtooth),10,0.007547169811320755
3,1325,Lead3(calliope),14,0.010566037735849056
3,1325,Lead4(chiff),16,0.012075471698113207
3,1325,Lead5(charang),10,0.007547169811320755
3,1325,Lead6(voice),16,0.012075471698113207
3,1325,Lead8(bass+lead),14,0.010566037735849056
3,1325,Marimba,15,0.011320754716981131
3,1325,MusicBox,7,0.005283018867924528
3,1325,MutedTrumpet,21,0.015849056603773583
3,1325,Oboe,12,0.009056603773584904
3,1325,Ocarina,23,0.017358490566037735
3,1325,OrchestralHarp,13,0.00981132075471698
3,1325,OverdrivenGuitar,17,0.012830188679245283
3,1325,Pad1(newage),15,0.011320754716981131
3,1325,Pad2(warm),15,0.011320754716981131
3,1325,Pad3(polysynth),16,0.012075471698113207
3,1325,Pad4(choir),16,0.012075471698113207
3,1325,Pad5(bowed),18,0.013584905660377358
3,1325,Pad6(metallic),10,0.007547169811320755
3,1325,Pad7(halo),14,0.010566037735849056
3,1325,Pad8(sweep),15,0.011320754716981131
3,1325,PanFlute,7,0.005283018867924528
3,1325,PercussiveOrgan,16,0.012075471698113207
3,1325,Piccolo,10,0.007547169811320755
3,1325,PizzicatoStrings,19,0.014339622641509434
3,1325,Recorder,20,0.01509433962264151
3,1325,ReedOrgan,20,0.01509433962264151
3,1325,RockOrgan,15,0.011320754716981131
3,1325,Shamisen,11,0.00830188679245283
3,1325,Shanai,16,0.012075471698113207
3,1325,Sitar,15,0.011320754716981131
3,1325,SlapBass1,12,0.009056603773584904
3,1325,SlapBass2,17,0.012830188679245283
3,1325,SopranoSax,22,0.01660377358490566
3,1325,StringEnsemble1,15,0.011320754716981131
3,1325,StringEnsemble2,19,0.014339622641509434
3,1325,SynthBass1,18,0.013584905660377358
3,1325,SynthBass2,14,0.010566037735849056
3,1325,SynthBrass1,16,0.012075471698113207
3,1325,SynthBrass2,14,0.010566037735849056
3,1325,SynthStrings1,7,0.005283018867924528
3,1325,SynthStrings2,17,0.012830188679245283
3,1325,SynthVoice,17,0.012830188679245283
3,1325,TenorSax,12,0.009056603773584904
3,1325,TremoloStrings,18,0.013584905660377358
3,1325,Trombone,13,0.00981132075471698
3,1325,Trumpet,21,0.015849056603773583
3,1325,Tuba,14,0.010566037735849056
3,1325,Vibraphone,13,0.00981132075471698
3,1325,Viola,12,0.009056603773584904
3,1325,Violin,14,0.010566037735849056
3,1325,VoiceOohs,6,0.004528301886792452
3,1325,Xylophone,12,0.009056603773584904
4,1325,AcousticBass,13,0.00981132075471698
4,1325,AcousticGrandPiano,9,0.006792452830188679
4,1325,AcousticGuitar(nylon),13,0.00981132075471698
4,1325,AcousticGuitar(steel),10,0.007547169811320755
4,1325,AltoSax,9,0.006792452830188679
4,1325,Bagpipe,12,0.009056603773584904
4,1325,Banjo,24,0.01811320754716981
4,1325,BaritoneSax,17,0.012830188679245283
4,1325,Bassoon,14,0.010566037735849056
4,1325,BlownBottle,20,0.01509433962264151
4,1325,BrassSection,16,0.012075471698113207
4,1325,BrightAcousticPiano,16,0.012075471698113207
4,1325,Cello,17,0.012830188679245283
4,1325,ChoirAahs,16,0.012075471698113207
4,1325,ChurchOrgan,16,0.012075471698113207
4,1325,Clarinet,13,0.00981132075471698
4,1325,Clavinet,11,0.00830188679245283
4,1325,Contrabass,21,0.015849056603773583
4,1325,DistortionGuitar,15,0.011320754716981131
4,1325,DrawbarOrgan,17,0.012830188679245283
4,1325,Dulcimer,10,0.007547169811320755
4,1325,ElectricBass(finger),16,0.012075471698113207
4,1325,ElectricBass(pick),18,0.013584905660377358
4,1325,ElectricGrandPiano,9,0.006792452830188679
4,1325,ElectricGuitar(clean),15,0.011320754716981131
4,1325,ElectricGuitar(jazz),16,0.012075471698113207
4,1325,ElectricGuitar(muted),17,0.012830188679245283
4,1325,ElectricPiano1,20,0.01509433962264151
4,1325,ElectricPiano2,21,0.015849056603773583
4,1325,EnglishHorn,15,0.011320754716981131
4,1325,Fiddle,16,0.012075471698113207
4,1325,Flute,12,0.009056603773584904
4,1325,FrenchHorn,17,0.012830188679245283
4,1325,FretlessBass,14,0.010566037735849056
4,1325,Harpsichord,15,0.011320754716981131
4,1325,Honky-tonkPiano,12,0.009056603773584904
4,1325,Kalimba,19,0.014339622641509434
4,1325,Koto,14,0.010566037735849056
4,1325,Lead1(square),15,0.011320754716981131
4,1325,Lead2(sawtooth),15,0.011320754716981131
4,1325,Lead3(calliope),14,0.010566037735849056
4,1325,Lead4(chiff),13,0.00981132075471698
4,1325,Lead5(charang),13,0.00981132075471698
4,1325,Lead6(voice),16,0.012075471698113207
4,1325,Lead8(bass+lead),18,0.013584905660377358
4,1325,Marimba,16,0.012075471698113207
4,1325,MusicBox,14,0.010566037735849056
4,1325,MutedTrumpet,11,0.00830188679245283
4,1325,Oboe,19,0.014339622641509434
4,1325,Ocarina,12,0.009056603773584904
4,1325,OrchestralHarp,14,0.010566037735849056
4,1325,OverdrivenGuitar,22,0.01660377358490566
4,1325,Pad1(newage),11,0.00830188679245283
4,1325,Pad2(warm),11,0.00830188679245283
4,1325,Pad3(polysynth),15,0.011320754716981131
4,1325,Pad4(choir),8,0.0060377358490566035
4,1325,Pad5(bowed),16,0.012075471698113207
4,1325,Pad6(metallic),17,0.012830188679245283
4,1325,Pad7(halo),12,0.009056603773584904
4,1325,Pad8(sweep),13,0.00981132075471698
4,1325,PanFlute,20,0.01509433962264151
4,1325,PercussiveOrgan,14,0.010566037735849056
4,1325,Piccolo,9,0.006792452830188679
4,1325,PizzicatoStrings,13,0.00981132075471698
4,1325,Recorder,15,0.011320754716981131
4,1325,ReedOrgan,12,0.009056603773584904
4,1325,RockOrgan,11,0.00830188679245283
4,1325,Shamisen,7,0.005283018867924528
4,1325,Shanai,10,0.007547169811320755
4,1325,Sitar,9,0.006792452830188679
4,1325,SlapBass1,20,0.01509433962264151
4,1325,SlapBass2,13,0.00981132075471698
4,1325,SopranoSax,11,0.00830188679245283
4,1325,StringEnsemble1,15,0.011320754716981131
4,1325,StringEnsemble2,17,0.012830188679245283
4,1325,SynthBass1,17,0.012830188679245283
4,1325,SynthBass2,13,0.00981132075471698
4,1325,SynthBrass1,13,0.00981132075471698
4,1325,SynthBrass2,11,0.00830188679245283
4,1325,SynthStrings1,19,0.014339622641509434
4,1325,SynthStrings2,12,0.009056603773584904
4,1325,SynthVoice,13,0.00981132075471698
4,1325,TenorSax,10,0.007547169811320755
4,1325,TremoloStrings,16,0.012075471698113207
4,1325,Trombone,11,0.00830188679245283
4,1325,Trumpet,15,0.011320754716981131
4,1325,Tuba,10,0.007547169811320755
4,1325,Vibraphone,15,0.011320754716981131
4,1325,Viola,19,0.014339622641509434
4,1325,Violin,16,0.012075471698113207
4,1325,VoiceOohs,17,0.012830188679245283
4,1325,Xylophone,12,0.009056603773584904
5,1325,AcousticBass,12,0.009056603773584904
5,1325,AcousticGrandPiano,18,0.013584905660377358
5,1325,AcousticGuitar(nylon),28,0.02113207547169811
5,1325,AcousticGuitar(steel),10,0.007547169811320755
5,1325,AltoSax,7,0.005283018867924528
5,1325,Bagpipe,14,0.010566037735849056
5,1325,Banjo,11,0.00830188679245283
5,1325,BaritoneSax,18,0.013584905660377358
5,1325,Bassoon,14,0.010566037735849056
5,1325,BlownBottle,21,0.015849056603773583
5,1325,BrassSection,11,0.00830188679245283
5,1325,BrightAcousticPiano,16,0.012075471698113207
5,1325,Cello,10,0.007547169811320755
5,1325,ChoirAahs,15,0.011320754716981131
5,1325,ChurchOrgan,9,0.006792452830188679
5,1325,Clarinet,20,0.01509433962264151
5,1325,Clavinet,13,0.00981132075471698
5,1325,Contrabass,20,0.01509433962264151
5,1325,DistortionGuitar,19,0.014339622641509434
5,1325,DrawbarOrgan,10,0.007547169811320755
5,1325,Dulcimer,13,0.00981132075471698
5,1325,ElectricBass(finger),10,0.007547169811320755
5,1325,ElectricBass(pick),9,0.006792452830188679
5,1325,ElectricGrandPiano,9,0.006792452830188679
5,1325,ElectricGuitar(clean),12,0.009056603773584904
5,1325,ElectricGuitar(jazz),17,0.012830188679245283
5,1325,ElectricGuitar(muted),8,0.0060377358490566035
5,1325,ElectricPiano1,10,0.007547169811320755
5,1325,ElectricPiano2,12,0.009056603773584904
5,1325,EnglishHorn,15,0.011320754716981131
5,1325,Fiddle,12,0.009056603773584904
5,1325,Flute,13,0.00981132075471698
5,1325,FrenchHorn,15,0.011320754716981131
5,1325,FretlessBass,14,0.010566037735849056
5,1325,Harpsichord,17,0.012830188679245283
5,1325,Honky-tonkPiano,10,0.007547169811320755
5,1325,Kalimba,14,0.010566037735849056
5,1325,Koto,14,0.010566037735849056
5,1325,Lead1(square),18,0.013584905660377358
5,1325,Lead2(sawtooth),12,0.009056603773584904
5,1325,Lead3(calliope),18,0.013584905660377358
5,1325,Lead4(chiff),10,0.007547169811320755
5,1325,Lead5(charang),13,0.00981132075471698
5,1325,Lead6(voice),19,0.014339622641509434
5,1325,Lead8(bass+lead),11,0.00830188679245283
5,1325,Marimba,15,0.011320754716981131
5,1325,MusicBox,20,0.01509433962264151
5,1325,MutedTrumpet,20,0.01509433962264151
5,1325,Oboe,18,0.013584905660377358
5,1325,Ocarina,13,0.00981132075471698
5,1325,OrchestralHarp,15,0.011320754716981131
5,1325,OverdrivenGuitar,11,0.00830188679245283
5,1325,Pad1(newage),20,0.01509433962264151
5,1325,Pad2(warm),14,0.010566037735849056
5,1325,Pad3(polysynth),13,0.00981132075471698
5,1325,Pad4(choir),15,0.011320754716981131
5,1325,Pad5(bowed),7,0.005283018867924528
5,1325,Pad6(metallic),10,0.007547169811320755
5,1325,Pad7(halo),11,0.00830188679245283
5,1325,Pad8(sweep),11,0.00830188679245283
5,1325,PanFlute,16,0.012075471698113207
5,1325,PercussiveOrgan,17,0.012830188679245283
5,1325,Piccolo,20,0.01509433962264151
5,1325,PizzicatoStrings,19,0.014339622641509434
5,1325,Recorder,15,0.011320754716981131
5,1325,ReedOrgan,11,0.00830188679245283
5,1325,RockOrgan,16,0.012075471698113207
5,1325,Shamisen,24,0.01811320754716981
5,1325,Shanai,13,0.00981132075471698
5,1325,Sitar,14,0.010566037735849056
5,1325,SlapBass1,17,0.012830188679245283
5,1325,SlapBass2,13,0.00981132075471698
5,1325,SopranoSax,19,0.014339622641509434
5,1325,StringEnsemble1,17,0.012830188679245283
5,1325,StringEnsemble2,12,0.009056603773584904
5,1325,SynthBass1,11,0.00830188679245283
5,1325,SynthBass2,14,0.010566037735849056
5,1325,SynthBrass1,14,0.010566037735849056
5,1325,SynthBrass2,14,0.010566037735849056
5,1325,SynthStrings1,18,0.013584905660377358
5,1325,SynthStrings2,15,0.011320754716981131
5,1325,SynthVoice,20,0.01509433962264151
5,1325,TenorSax,8,0.0060377358490566035
5,1325,TremoloStrings,21,0.015849056603773583
5,1325,Trombone,18,0.013584905660377358
5,1325,Trumpet,15,0.011320754716981131
5,1325,Tuba,15,0.011320754716981131
5,1325,Vibraphone,10,0.007547169811320755
5,1325,Viola,15,0.011320754716981131
